electrode;region;side;midline
AF3;anteriofrontal;left;close
AF4;anteriofrontal;right;close
AF7;anteriofrontal;left;far
AF8;anteriofrontal;right;far
AFz;anteriofrontal;none;close
C1;central;left;close
C2;central;right;close
C3;central;left;close
C4;central;right;close
C5;central;left;far
C6;central;right;far
CP1;centroparietal;left;close
CP2;centroparietal;right;close
CP3;centroparietal;left;close
CP4;centroparietal;right;close
CP5;centroparietal;left;far
CP6;centroparietal;right;far
CPz;centroparietal;none;close
Cz;central;none;close
F1;frontal;left;close
F2;frontal;right;close
F3;frontal;left;close
F4;frontal;right;close
F5;frontal;left;far
F6;frontal;right;far
F7;frontal;left;far
F8;frontal;right;far
FC1;frontocentral;left;close
FC2;frontocentral;right;close
FC3;frontocentral;left;close
FC4;frontocentral;right;close
FC5;frontocentral;left;far
FC6;frontocentral;right;far
FCz;frontocentral;none;close
Fp1;prefrontal;left;close
Fp2;prefrontal;right;close
Fpz ;prefrontal;none;close
FT7;frontotemporal;left;far
FT8;frontotemporal;right;far
Fz;frontal;none;close
Iz;none;none;close
O1;occipital;left;close
O2;occipital;right;close
Oz;occipital;none;close
P1;parietal;left;close
P2;parietal;right;close
P3;parietal;left;close
P4;parietal;right;close
P5;parietal;left;far
P6;parietal;right;far
P10;parietal;right;far
P7;parietal;left;far
P8;parietal;right;far
P9;parietal;left;far
PO3;parietooccipital;left;close
PO4;parietooccipital;right;close
PO7;parietooccipital;left;far
PO8;parietooccipital;right;far
POz;parietooccipital;none;close
Pz;parietal;none;close
T7;temporal;left;far
T8;temporal;right;far
TP7;temporal;left;far
TP8;temporal;right;far
